央视频道,#genre#
CCTV-1综合,tvbus://1Ny5HytSLVmPiEDeMc398oCehgGxjL4i584ZXTjXUfzT8AEvia
CCTV-2财经,tvbus://1QPEEn121894NFLrVo65P71mD54GhW4HxqhXoJrnFabmjwySQC
CCTV-3综艺,tvbus://1JNoKZSCJoAtZJXsz13LMb5Xf587LDmNZM4nXKo9hUDK1Mt9cb
CCTV-4中文国际,tvbus://1XLy9wSDhoL4uMrKqS3JkbgpisPeHs2Q29RWUV7yFdrojhC3nE
CCTV-5体育,tvbus://12RcYoubqoLEQ6mERdzr46qirPTt9cojHTCimCFqPRDgtt2vDCM
CCTV-6电影,tvbus://1L6x2mUJaPNq5EUBTCQykdF9o9vvUn8RtLs5usXkypKKRRev9r
CCTV-7国防军事,tvbus://12b9fgiMnSvZ7nomEPYEYhmD2mnv6C6dBZ24iG9339oTScLxKXS
CCTV-8电视剧,tvbus://12btbzBjCSBAdLKwk1PDgsCfm5XcbxiXpTXUHxpLQDw8ck9PMF7
CCTV-9纪录,tvbus://1yozjbAN2aSC3AFKjBRzF68V5mxQySgvV5QX4n5sUNZN6jmjXm
CCTV-10科教,tvbus://12AMGpe4Fasu3xGp8bqphoEF8QPbPA69nkK2ZX9hZiHfgTJHnPF
CCTV-11戏曲,tvbus://1FJYyhXoC8d84AaD8jdUmpZAsazQKKxG2fRzaCR1yu6zH6BG9R
CCTV-12社会与法,tvbus://12grPqw6dKNduN7RPmhyh9v8GzHmFYA8K3zvE1LwnrJTg4YjuzU
CCTV-13新闻,tvbus://12895XRfBARTpiAS93aYtPBha5LSkpJfXzCHsr4nhsFtBbdHeii
CCTV-14少儿,tvbus://12dAt5xpZBF9Ja5RfcZA1Roo1eZhxrhNcz4xHasPTEG3Ws15G7y
CCTV-15音乐,tvbus://1cEmym59B2LFSJLwDWubwWQ9vEX5ZLnmCy2FojFhPUwQ1e5RU4
CCTV-17农业农村,tvbus://1ZHGVttv4f3Yo3jX2Gd8zukctbvBngQzd7QJdFzvcgkgeTEzDw
CCTV-5+HD,tvbus://12DFjJkyW6VJQk5yhnwDY5CT6YSDvVLW2SvVZZ5hNG7u9u11qJY
CHC动作电影,tvbus://12pp9oqynLwkP9CF2r2gQr7zqP61qQPE2EUdDFz8Gzp2aEF3Uzj
CHC家庭影院,tvbus://1bSygranNbVnXHiXTc3dw8ME1X7ZuxrEfGu5YqXm3zQwJ9MvVz
CHC高清电影,tvbus://12aivwCn8AbZaUiZhqm4jcGCwDKvoJ8bXRJPYBAsh3bUPXiE7Po
